pmid,year,title,missing_facets,source_reference,state
34740922,2022,Adding Base-Excision Repair Inhibitor TRC102 to Standard Pemetrexed-Platinum-Radiation in Patients with Advanced Nonsquamous Non-Small Cell Lung Cancer: Results of a Phase I Trial,tissue_ids,ccr-2022-34740922-evidence.md,not-curated-not-absent
35012927,2022,Health-Related Quality of Life Outcomes in Patients with Resected Epidermal Growth Factor Receptor-Mutated Non-Small Cell Lung Cancer Who Received Adjuvant Osimertinib in the Phase III ADAURA Trial,tissue_ids,ccr-2022-35012927-evidence.md,not-curated-not-absent
35511917,2022,"Replication of Overall Survival, Progression-Free Survival, and Overall Response in Chemotherapy Arms of Non-Small Cell Lung Cancer Trials Using Real-World Data",tissue_ids,ccr-2022-35511917-evidence.md,not-curated-not-absent
35727603,2022,Novel Radiomic Measurements of Tumor-Associated Vasculature Morphology on Clinical Imaging as a Biomarker of Treatment Response in Multiple Cancers,tissue_ids,ccr-2022-35727603-evidence.md,not-curated-not-absent
36112541,2023,FDA Approval Summary: Mobocertinib for Metastatic Non-Small Cell Lung Cancer with EGFR Exon 20 Insertion Mutations,tissue_ids,ccr-2023-36112541-evidence.md,not-curated-not-absent
36378548,2023,A Phase I/II Trial of Oral SRA737 (a Chk1 Inhibitor) Given in Combination with Low-Dose Gemcitabine in Patients with Advanced Cancer,tissue_ids,ccr-2023-36378548-evidence.md,not-curated-not-absent
36595566,2023,Tumor Dynamic Model-Based Decision Support for Phase Ib/II Combination Studies: A Retrospective Assessment Based on Resampling of the Phase III Study IMpower150,tissue_ids,ccr-2023-36595566-evidence.md,not-curated-not-absent
36692420,2023,Allogeneic CAR T Cells Targeting DLL3 Are Efficacious and Safe in Preclinical Models of Small Cell Lung Cancer,tissue_ids,ccr-2023-36692420-language.md,not-curated-not-absent
36951523,2023,FDA Approval Summary: Atezolizumab as Adjuvant Treatment following Surgical Resection and Platinum-Based Chemotherapy for Stage II to IIIA NSCLC,tissue_ids,ccr-2023-36951523-evidence.md,not-curated-not-absent
37022784,2023,FDA Approval Summary: Amivantamab for the Treatment of Patients with Non-Small Cell Lung Cancer with EGFR Exon 20 Insertion Mutations,tissue_ids,ccr-2023-37022784-evidence.md,not-curated-not-absent
37227187,2023,Targeting Replication Stress and Chemotherapy Resistance with a Combination of Sacituzumab Govitecan and Berzosertib: A Phase I Clinical Trial,tissue_ids,ccr-2023-37227187-language.md,not-curated-not-absent
37233986,2023,Patient-Reported Outcomes as Interradiographic Predictors of Response in Non-Small Cell Lung Cancer,tissue_ids,ccr-2023-37233986-evidence.md,not-curated-not-absent
38109210,2024,Tumor-Specific Activity of Precision Medicines in the NCI-MATCH Trial,tissue_ids,ccr-2024-38109210-language.md,not-curated-not-absent
38165684,2024,Phase II Study of Durvalumab Immediately after Completion of Chemoradiotherapy in Unresectable Stage III Non-small Cell Lung Cancer: TORG1937 (DATE Study),tissue_ids,ccr-2024-38165684-language.md,not-curated-not-absent
38277241,2024,Development of a [89Zr]Zr-labeled Human Antibody using a Novel Phage-displayed Human scFv Library,tissue_ids,ccr-2024-38277241-language.md,not-curated-not-absent
38875108,2024,FDA Approval Summary: Repotrectinib for Locally Advanced or Metastatic ROS1-Positive Non-Small Cell Lung Cancer,tissue_ids,ccr-2024-38875108-language.md,not-curated-not-absent
39400264,2024,DICER1-Related Tumor Predisposition: Identification of At-risk Individuals and Recommended Surveillance Strategies,tissue_ids,ccr-2024-39400264-language.md,not-curated-not-absent
39651955,2025,"Phase I/II Trial of Exportin 1 Inhibitor Selinexor plus Docetaxel in Previously Treated, Advanced KRAS-Mutant Non-Small Cell Lung Cancer",tissue_ids,ccr-2025-clinical-2026-09-23-language.md,not-curated-not-absent
39821070,2025,"Tremelimumab plus Durvalumab prior to Chemoradiotherapy in Unresectable, Locally Advanced Non-Small Cell Lung Cancer: The Induction Trial",tissue_ids,ccr-2025-immunotherapy-fulltext-language.md,not-curated-not-absent
39841860,2025,"Pretargeted Trop-2 ImmunoPET for Rapid, Selective Detection of Pancreatic Tumors",tissue_ids,ccr-2025-omics-methods-2026-09-23-language.md,not-curated-not-absent
40162917,2025,Randomized Phase III Study of EGFR Tyrosine Kinase Inhibitor and Intercalated Platinum-Doublet Chemotherapy for Non-Small Cell Lung Cancer Harboring EGFR Mutation,tissue_ids,ccr-2025-clinical-2026-09-23-language.md,not-curated-not-absent
40247431,2025,Factors Associated with Disease Progression after Discontinuation of Immune Checkpoint Inhibitors for Immune-Related Toxicity in Patients with Advanced Non-Small Cell Lung Cancer,tissue_ids,ccr-2025-immunotherapy-fulltext-language.md,not-curated-not-absent
40465424,2025,"STX-721, a Covalent EGFR/HER2 Exon 20 Inhibitor, Utilizes Exon 20-Mutant Dynamic Protein States and Achieves Unique Mutant Selectivity Across Human Cancer Models",tissue_ids,ccr-2025-omics-methods-2026-09-23-language.md,not-curated-not-absent
40552922,2025,Combined Targeting of PD-1 and TIM-3 in Patients with Locally Advanced or Metastatic Non-Small Cell Lung Cancer: AMBER Part 2B,tissue_ids,ccr-2025-immunotherapy-fulltext-language.md,not-curated-not-absent
40828417,2025,The Activity of EGFR CAR NK and CAR T Cells against EGFR Inhibitor-Resistant NSCLC and Drug-Tolerant Persister Cells,tissue_ids,ccr-2025-immunotherapy-fulltext-language.md,not-curated-not-absent
40864503,2025,First-Line MET Tyrosine Kinase Inhibitors versus Immunotherapy ± Chemotherapy for Patients with MET Exon 14 Skipping Mutant Metastatic NSCLC,tissue_ids,ccr-2025-immunotherapy-fulltext-language.md,not-curated-not-absent
40880183,2025,Phase I Dose-Escalation Trial Combining Olaparib and Thoracic Radiotherapy in Extensive-Stage Small Cell Lung Cancer,tissue_ids,ccr-2025-clinical-2026-09-23-language.md,not-curated-not-absent
40928991,2025,Tarlatamab Exposure-Efficacy and Exposure-Safety Relationships to Inform Dose Selection in Patients with Small Cell Lung Cancer,tissue_ids,ccr-2025-immunotherapy-fulltext-language.md,not-curated-not-absent
41026583,2025,D3-GPC2-Directed CAR T Cells Are Safe and Efficacious in Preclinical Models of Neuroblastoma and Small Cell Lung Cancer,tissue_ids,ccr-2025-immunotherapy-fulltext-language.md,not-curated-not-absent
41378983,2026,Efficacy and CNS Toxicity of Nivolumab and Ipilimumab in Rare Cancer Brain Metastases: A Multicenter Basket Trial Analysis (NCI/SWOG S1609),tissue_ids,ccr-2026-09-19-batch2-language.md,not-curated-not-absent
41556942,2026,Crizotinib in Patients with Tumors with MET Amplification or Exon 14 Deletion: Results from the NCI-MATCH ECOG-ACRIN Trial Subprotocols C1 and C2,tissue_ids,ccr-2026-09-19-supplement-language.md,not-curated-not-absent
41563386,2026,"Camonsertib, an ATRi, in Combination with Low-Dose Gemcitabine in Solid Tumors with DNA Damage Response Aberrations: Preclinical and Phase Ib Results",tissue_ids,ccr-2026-41563386-language.md,not-curated-not-absent
41587109,2026,FDA Approval Summary: Tarlatamab for the Treatment of Extensive-Stage Small Cell Lung Cancer,tissue_ids,ccr-2026-immunotherapy-fulltext-language.md,not-curated-not-absent
41649868,2026,"JIN-A02, a Mutant-Selective Fourth-Generation EGFR Inhibitor, Overcomes C797S-Mediated Resistance and Demonstrates Intracranial Activity in NSCLC",tissue_ids,ccr-2026-translational-mechanisms-fulltext-language.md,not-curated-not-absent
41671081,2026,Subcutaneously Administered Tislelizumab in Locally Advanced or Metastatic Non-Small Cell Lung Cancer: Pharmacokinetics and Safety Results from the BGB-A317-103 Phase I Study,tissue_ids,ccr-2026-immunotherapy-fulltext-language.md,not-curated-not-absent
41801128,2026,Patient-Reported Outcomes in FLAURA2: Osimertinib with or without Chemotherapy in Patients with Previously Untreated EGFR-Mutated Advanced Non-Small Cell Lung Cancer,tissue_ids,ccr-2026-09-19-pending15-language.md,not-curated-not-absent
41837748,2026,Improving Anti-CTLA-4 Therapies through Peptide Masking and Fragment Crystallizable Non-fucosylation: Preclinical Characterization of Three Novel Antibodies,tissue_ids,ccr-2026-translational-mechanisms-fulltext-language.md,not-curated-not-absent
41894181,2026,The Efficacy and Safety of Tislelizumab plus Anlotinib as First-Line Treatment in Advanced Pulmonary Sarcomatoid Carcinoma: A Single-Arm Phase II Trial,tissue_ids,ccr-2026-09-19-supplement-language.md,not-curated-not-absent
41920765,2026,Irreversible Electroporation Enhances Solid Tumor Infiltration and Selective Cancer Cell Lysis by CAR T Cells,tissue_ids,ccr-2026-immunotherapy-fulltext-language.md,not-curated-not-absent
41945500,2026,Retreatment with First-Generation Selective RET Inhibitors in RET-Rearranged NSCLC Pretreated with Selpercatinib or Pralsetinib: Results from the RET-MAP Registry,tissue_ids,ccr-2026-09-19-supplement-language.md,not-curated-not-absent
41961582,2026,First-Line Sacituzumab Govitecan Plus Pembrolizumab and Carboplatin in Metastatic Non-Small Cell Lung Cancer: Nonsquamous and Squamous Cohorts of the EVOKE-02 Study,tissue_ids,ccr-2026-09-23-intake-language.md,not-curated-not-absent
42007996,2026,ZW191 an FRalpha-Targeted Topoisomerase 1 Inhibitor ADC with a Differentiated Antitumor Efficacy and Tolerability Profile,tissue_ids,ccr-2026-09-19-supplement-language.md,not-curated-not-absent
42013305,2026,Dual Inhibition of TRIP13 and Aurora A Induces Mitotic DNA Damage and Concurrent Pyroptotic-Apoptotic Cell Death in Rb-Deficient Cancer Cells,tissue_ids,ccr-2026-09-19-supplement-language.md,not-curated-not-absent
42048384,2026,The SOS1 Inhibitor BI 1701963 as Monotherapy or in Combination with Trametinib in Patients with KRAS Mutation-Positive Solid Tumors,tissue_ids,ccr-2026-09-19-supplement-language.md,not-curated-not-absent
42126592,2026,Mitochondrial Imaging Detects Early Cardiac Changes Following Cancer Immunotherapy,tissue_ids,ccr-2026-immunotherapy-fulltext-language.md,not-curated-not-absent
42207168,2026,Mature Outcomes and Patterns of Failure in the Phase II FLARE-RT Trial of Biological Image-Guided and Risk-Adaptive Chemoradiation for Unresectable NSCLC,tissue_ids,ccr-2026-09-19-pending15-language.md,not-curated-not-absent
42360104,2026,Early Detriment Analysis of First-Line Nivolumab plus Ipilimumab-Based Therapy in Patients with Metastatic Non-Small Cell Lung Cancer,tissue_ids,ccr-2026-immunotherapy-fulltext-language.md,not-curated-not-absent
42485106,2026,Utilizing machine learning to identify multimodal signatures for patients who would benefit from the addition of tremelimumab to durvalumab and chemotherapy (TRIDENT),tissue_ids,ccr-2026-immunotherapy-fulltext-language.md,not-curated-not-absent
42507540,2026,Efficacy and Safety of Necitumumab and Pembrolizumab Combination Therapy in Advanced Non-Small-Cell Lung Cancer with at Least 50 Percent PD-L1 Expression: A Nonrandomized Phase II Trial,tissue_ids,ccr-2026-09-19-supplement-language.md,not-curated-not-absent
42578969,2026,ERK1/2 Inhibitor Ulixertinib in Pan-cancer Patients with BRAF Fusions or Non-V600E/K Mutations: Results from the NCI-MATCH ECOG-ACRIN Trial (EAY131) Subprotocol Z1L,tissue_ids,ccr-2026-09-19-pending15-language.md,not-curated-not-absent
42714840,2026,Osimertinib After Definitive Chemoradiotherapy in Unresectable Stage III EGFR-Mutated NSCLC: Subsequent Treatments and PPO From the Phase III LAURA Study,tissue_ids,ccr-2026-09-12-supplement-language.md,not-curated-not-absent
42765908,2026,Safety and Efficacy of Ceralasertib plus Olaparib for Advanced/Metastatic Triple-Negative Breast Cancer in Three Molecular Strata: The Phase II VIOLETTE Study,tissue_ids,ccr-2026-42765908-language.md,not-curated-not-absent
